id,name,brand,category,volume_size,current_price_rsd,original_price_rsd,url_slug,image_url
183,Expert Blowout Shine Wavy 45,Olivia Garden,Brushes,45mm,3600,,expert-blowout-shine-wavy-bristles-goldbrown-45,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-45-65affc1257239.webp
184,Expert Blowout Shine Wavy 35,Olivia Garden,Brushes,35mm,3360,,expert-blowout-shine-wavy-bristles-goldbrown-35,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-35-65affaf51e3ee.webp
185,Expert Blowout Shine Wavy 25,Olivia Garden,Brushes,25mm,3000,,expert-blowout-shine-wavy-bristles-goldbrown-25,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-25-65aff8e6a5beb.webp
186,Expert Blowout Shine Wavy 20,Olivia Garden,Brushes,20mm,2880,,expert-blowout-shine-wavy-bristles-goldbrown-20,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-wavy-bristles-goldbrown-20-65aff72f1a546.webp
187,Expert Blowout Speed 65,Olivia Garden,Brushes,65mm,5220,,expert-blowout-speed-wavy-bristles-whitegrey-65,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-speed-wavy-bristles-whitegrey-65-65afcdc015257.webp
188,Expert Blowout Speed 55,Olivia Garden,Brushes,55mm,4200,,expert-blowout-speed-wavy-bristles-whitegrey-55,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-speed-wavy-bristles-whitegrey-55-65afcc3c6c6ca.webp
189,Expert Blowout Speed 45,Olivia Garden,Brushes,45mm,3780,,expert-blowout-speed-wavy-bristles-whitegrey-45,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-speed-wavy-bristles-whitegrey-45-65afcae8ab4e9.webp
190,Expert Blowout Speed 35,Olivia Garden,Brushes,35mm,3480,,expert-blowout-speed-wavy-bristles-whitegrey-35,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-speed-wavy-bristles-whitegrey-35-65afc92cbcdb5.webp
191,Expert Blowout Speed 25,Olivia Garden,Brushes,25mm,3240,,expert-blowout-speed-wavy-bristles-whitegrey-25,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-speed-wavy-bristles-whitegrey-25-65afc6db7cd99.webp
192,Expert Blowout Shine 80,Olivia Garden,Brushes,80mm,5760,,expert-blowout-shine-whitegrey-80,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-80-65afe73d4d5ce.webp
193,Expert Blowout Shine 65,Olivia Garden,Brushes,65mm,4800,,expert-blowout-shine-whitegrey-65,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-65-65afe5f851e82.webp
194,Expert Blowout Shine 55,Olivia Garden,Brushes,55mm,3840,,expert-blowout-shine-whitegrey-55,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-55-65afe4b5e360f.webp
195,Expert Blowout Shine 45,Olivia Garden,Brushes,45mm,3480,,expert-blowout-shine-whitegrey-45,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-45-65afe36210b3e.webp
196,Expert Blowout Shine 35,Olivia Garden,Brushes,35mm,3120,,expert-blowout-shine-whitegrey-35,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-35-65afe1aeb6aae.webp
197,Expert Blowout Shine 25,Olivia Garden,Brushes,25mm,2940,,expert-blowout-shine-whitegrey-25,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-25-65afdffe515f9.webp
198,Expert Blowout Shine 20,Olivia Garden,Brushes,20mm,2820,,expert-blowout-shine-whitegrey-20,https://www.altamoda.rs/uploads/store/products/images/expert-blowout-shine-whitegrey-20-65afdeace811f.webp
199,Matrix InstaCure Spray,Matrix,Styling,190ml,2280,,m-tr-instacr-krema-za-kosu-190ml,https://www.altamoda.rs/uploads/store/products/images/m-tr-instacr-krema-za-kosu-190ml-663e1d01b742b.webp
200,Matrix Setter Mousse,Matrix,Styling,232g,2880,,m-sty-setter-pena-za-kosu-232g,https://www.altamoda.rs/uploads/store/products/images/m-sty-setter-pena-za-kosu-232g-65427d973dfba.webp
201,Matrix A Curl Can Dream Gel,Matrix,Styling,250ml,2100,,m-curl-gel-za-kosu-250ml,https://www.altamoda.rs/uploads/store/products/images/m-curl-gel-za-kosu-250ml-650b0e7599b6b.webp
202,Redken Acidic Bonding Concentrate Mask,Redken,Masks,250ml,6960,,rk-abc-mask-250ml,https://www.altamoda.rs/uploads/store/products/images/rk-abc-mask-250ml-64f8b3510ff6d.webp
203,Redken Matte Clay,Redken,Styling,75ml,4140,,rk-sty-matte-clay-75ml,https://www.altamoda.rs/uploads/store/products/images/rk-sty-matte-clay-75ml-6478b05f1cb44.webp
204,Redken Volume Boost Spray,Redken,Styling,250ml,4140,,rk-sty-vol-boost-250ml,https://www.altamoda.rs/uploads/store/products/images/rk-sty-vol-boost-250ml-6478af8176324.webp
205,Matrix Food For Soft Conditioner,Matrix,Conditioner,300ml,2640,,mx-tr-ffs-cond-300ml,https://www.altamoda.rs/uploads/store/products/images/mx-tr-ffs-cond-300ml-645a59a1bb1f1.webp
206,Matrix Food For Soft Shampoo,Matrix,Shampoo,300ml,2100,,mx-tr-ffs-shp-300ml,https://www.altamoda.rs/uploads/store/products/images/mx-tr-ffs-shp-300ml-645a5d9486733.webp
207,Redken Extreme Play Safe Treatment,Redken,Treatment,250ml,4920,,r-extr-play-safe-krema-kosa-250ml,https://www.altamoda.rs/uploads/store/products/images/r-extr-play-safe-krema-kosa-250ml-645a07e59c773.webp
208,Redken All Soft Mega Curls Conditioner,Redken,Conditioner,300ml,4530,,rk-asmeg-curl-cnd-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-asmeg-curl-cnd-300ml-6421652552248.webp
209,Redken All Soft Mega Curls Shampoo,Redken,Shampoo,300ml,3900,,rk-asmeg-curl-shmp-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-asmeg-curl-shmp-300ml-6421653f1e36a.webp
210,Redken All Soft Mega Curls Hydramelt,Redken,Treatment,150ml,5100,,rk-asmeg-curl-hydmlt-150ml,https://www.altamoda.rs/uploads/store/products/images/rk-asmeg-curl-hydmlt-150ml-6421655162a9e.webp
211,Elchim 3900 Healthy Ionic Hair Dryer,Elchim,Hair Tools,,14400,,fen-za-kosu-3900-blackgold-2400w,https://www.altamoda.rs/uploads/store/products/images/fen-za-kosu-3900-blackgold-2400w-640ddfa3b61dd.webp
212,Elchim 8th Sense Hair Straightener,Elchim,Hair Tools,,24000,,elchim-8th-sense-presa-za-kosu,https://www.altamoda.rs/uploads/store/products/images/elchim-8th-sense-presa-za-kosu-64107a3493427.webp
213,Biolage Strength Recovery Shampoo,Biolage,Shampoo,250ml,2340,,m-b-str-recovery-sampon-250ml,https://www.altamoda.rs/uploads/store/products/images/m-b-str-recovery-sampon-250ml-64020473dd15c.webp
214,Matrix Builder Wax Spray,Matrix,Styling,130g,2100,,matrix-builder-wax-spray-130g,https://www.altamoda.rs/uploads/store/products/images/m-sty-wax-sprej-kosa-250ml-63caa2679091a.webp
215,Matrix Controller Gel,Matrix,Styling,200ml,2400,,m-sty-strong-gel-kosa-200ml,https://www.altamoda.rs/uploads/store/products/images/m-sty-strong-gel-kosa-200ml-63caaa383b956.webp
216,Matrix Height Riser Powder,Matrix,Styling,7g,2100,,m-sty-height-riser-puder-kosa-7g,https://www.altamoda.rs/uploads/store/products/images/m-sty-height-riser-puder-kosa-7g-63caa0aaa935c.webp
217,Matrix Fixer Hairspray,Matrix,Styling,400ml,2400,,m-sty-flex-sprej-kosa-400ml,https://www.altamoda.rs/uploads/store/products/images/m-sty-flex-sprej-kosa-400ml-65427e1b9bd92.webp
218,Redken Root Tease Spray,Redken,Styling,250ml,4140,,r-sty22-root-tease-sprej-kosa-250ml,https://www.altamoda.rs/uploads/store/products/images/r-sty22-root-tease-sprej-kosa-250ml-63932d3f60398.webp
219,Redken Powder Grip,Redken,Styling,7g,4140,,r-sty22-powder-grip-puder-kosa-7g,https://www.altamoda.rs/uploads/store/products/images/r-sty22-powder-grip-puder-kosa-7g-63932e038ba8a.webp
220,Redken Max Hold Spray 32,Redken,Styling,300ml,4140,,rk-sty-max-hld-hairspray-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-sty-max-hld-hairspray-300ml-637e3ec42fe66.webp
221,Redken Strong Hold Spray 23,Redken,Styling,400ml,4140,,rk-sty-spray-strong-hold-400,https://www.altamoda.rs/uploads/store/products/images/rk-sty-spray-strong-hold-400-637e3e911e0a9.webp
222,Redken Spray Wax,Redken,Styling,150ml,4140,,rk-sty-wax-spray-150ml,https://www.altamoda.rs/uploads/store/products/images/rk-sty-wax-spray-150ml-637e3de353437.webp
223,Redken Root Lifter,Redken,Styling,300ml,4140,,rk-sty-vol-root-lft-spr-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-sty-vol-root-lft-spr-300ml-637e3d82f2988.webp
224,Redken Touchable Texture Mousse,Redken,Styling,200ml,4140,,r-sty22-touchbl-txt-pena-200ml,https://www.altamoda.rs/uploads/store/products/images/r-sty22-touchbl-txt-pena-200ml-636e2992d1f56.webp
225,Redken Texture Paste,Redken,Styling,75ml,4140,,r-sty22-texture-pasta-kosa-75ml,https://www.altamoda.rs/uploads/store/products/images/r-sty22-texture-pasta-kosa-75ml-636e2755deb99.webp
226,Redken Quick Dry Spray 18,Redken,Styling,400ml,4140,,r-sty22-quick-dry18-sprej-kosa-400ml,https://www.altamoda.rs/uploads/store/products/images/r-sty22-quick-dry18-sprej-kosa-400ml-636e2a20a2568.webp
