category,ourId,ourName,reason_or_bestScore
unmatched,cmnki2god005m9pq3jvvimopn,"Redken Chromatics 5.56 Brown Red 63ml",0.33
unmatched,cmnki2gsr00a39pq3y566mc4u,"Redken Flash Lift Express Blonde krema ",0.43
unmatched,cmnki2h7800nz9pq37i8ra5tq,"WELLA Koleston Perfect 12/7 60ml",0.50
unmatched,cmnki2gon005w9pq39jkwlav4,"Redken Chromatics Remixed Blue  63ml",0.38
unmatched,cmnki2goo005x9pq3hqvgc5vj,"Redken Chromatics Remixed Green  63ml",0.38
unmatched,cmnki2gop005y9pq3wlutdx2x,"Redken Chromatics Remixed Violet  63ml",0.57
unmatched,cmnki2h7a00o09pq3ywftgl9x,"WELLA Koleston Perfect 12/81 60ml",0.43
unmatched,cmnki2gor00619pq3dj6rpvro,"Redken Chromatics Beyond Cover 5.03 Natural Warm  63ml",0.45
unmatched,cmnki2gp0006b9pq3yfhsjimq,"Redken Chromatics Beyond Cover 7.23 Iridescent Gold 63ml",0.78
unmatched,cmnki2goy00689pq3rvvp3fob,"Redken Chromatics Beyond Cover 9.31 Gold Beige 63ml",0.70
unmatched,cmnki2gp6006g9pq3f2f8863p,"Redken Shades EQ Violet Color Kicker 60ml",0.50
unmatched,cmnki2gp3006d9pq3kyqa56vp,"Redken Shades EQ Orange Color Kicker 60ml",0.50
unmatched,cmnki2gu300b99pq3qov2s815,"Redken Color Extend Magnetics Deep Attraction",0.22
unmatched,cmnki2gp5006f9pq3hquiwmef,"Redken Shades EQ Red Color Kicker 60ml",0.50
unmatched,cmnki2gp4006e9pq3amrsham7,"Redken Shades EQ Yellow Color Kicker 60ml",0.50
unmatched,cmnki2gpd006o9pq3sytyxc6d,"Redken Chromatics Ultra Rich 6.54/BC/Brown Copper  63ml",0.25
unmatched,cmnki2gso00a09pq3m4xdvd0a,"REDKEN Pro Oxide Developer 30 Vol (9%)  ",0.63
unmatched,cmnki2gph006t9pq3zgmxcbps,"Redken Chromatics Ultra Rich 6.66/6RR/Red Red 63ml",0.27
unmatched,cmnki2gph006s9pq38w9lji74,"Redken Chromatics Ultra Rich 8.3/8G/Gold 63ml",0.33
unmatched,cmnki2gpn006z9pq3xb4dmz4x,"Redken Chromatics Ultra Rich 6.31/6GB/Gold Beige 63ml",0.38
unmatched,cmnki2gpl006x9pq3cfnl9fuy,"Redken Shades EQ 08C Cayanne 60ml",0.57
unmatched,cmnki2gpx00779pq38p3k8v7b,"Redken NATURE + SCIENCE All Soft regenerator 1000ml",0.30
unmatched,cmnki2gpr00739pq32ruveyjl,"Redken Frizz Dismiss regenerator 250ml",0.22
unmatched,cmnki2gpv00769pq3v93qwkqd,"Redken NATURE + SCIENCE All Soft regenerator 250ml ",0.30
unmatched,cmnki2h7a00o19pq37p5izfis,"WELLA Koleston Perfect 12/89 60ml",0.43
unmatched,cmnki2h7b00o29pq38olosut7,"WELLA Koleston Perfect 2/0 60ml",0.60
unmatched,cmnki2h7b00o39pq3wqfnh18e,"WELLA Koleston Perfect 3/0 60ml",0.60
unmatched,cmnki2h7c00o49pq3e9wxvmfm,"WELLA Koleston Perfect 4/0 60ml",0.60
unmatched,cmnki2gu100b79pq3j0zcc4rg,"Redken Color Extend Magnetics šampon 300ml",0.38
unmatched,cmnki2gqa007j9pq3fa2gaxrp,"Redken Shades EQ 08WG Golden Apricot  60ml",0.50
unmatched,cmnki2gqj007t9pq3075prv59,"Redken Shades EQ 06GB Toffee  60ml",0.57
unmatched,cmnki2gqm007w9pq3egmh31s3,"Redken Shades EQ 06T Iron  60ml",0.57
unmatched,cmnki2gqc007m9pq3vsz1s3ge,"Redken Shades EQ 09N Sahara 60ml",0.57
